krog,varianta,faza,vzorec,komponenta,cpu_raw,mem_raw
1,A-izhodisce,obremenitev,7,prometheus,2.48,48.64MiB
1,A-izhodisce,obremenitev,7,node-exporter,0.00,8.578MiB
1,A-izhodisce,obremenitev,7,cadvisor,10.14,43.5MiB
1,A-izhodisce,obremenitev,7,grafana,0.41,53.38MiB
1,A-izhodisce,obremenitev,7,elasticsearch,9.79,1.952GiB
1,A-izhodisce,obremenitev,7,kibana,13.95,649.6MiB
1,A-izhodisce,obremenitev,7,logstash,26.83,804MiB
1,A-izhodisce,obremenitev,7,alertmanager,0.39,19.6MiB
1,A-izhodisce,obremenitev,8,prometheus,0.16,48.64MiB
1,A-izhodisce,obremenitev,8,node-exporter,0.00,8.277MiB
1,A-izhodisce,obremenitev,8,cadvisor,3.51,43.5MiB
1,A-izhodisce,obremenitev,8,grafana,1.34,53.38MiB
1,A-izhodisce,obremenitev,8,elasticsearch,13.42,1.952GiB
1,A-izhodisce,obremenitev,8,kibana,15.09,649.6MiB
1,A-izhodisce,obremenitev,8,logstash,55.21,804.9MiB
1,A-izhodisce,obremenitev,8,alertmanager,3.81,20MiB
1,A-izhodisce,obremenitev,9,prometheus,0.09,48.64MiB
1,A-izhodisce,obremenitev,9,node-exporter,0.00,8.277MiB
1,A-izhodisce,obremenitev,9,cadvisor,2.79,43.52MiB
1,A-izhodisce,obremenitev,9,grafana,0.29,53.38MiB
1,A-izhodisce,obremenitev,9,elasticsearch,12.67,1.952GiB
1,A-izhodisce,obremenitev,9,kibana,12.97,649.6MiB
1,A-izhodisce,obremenitev,9,logstash,23.77,805MiB
1,A-izhodisce,obremenitev,9,alertmanager,0.36,20MiB
1,A-izhodisce,obremenitev,10,prometheus,1.68,48.64MiB
1,A-izhodisce,obremenitev,10,node-exporter,4.12,8.273MiB
1,A-izhodisce,obremenitev,10,cadvisor,3.98,44.54MiB
1,A-izhodisce,obremenitev,10,grafana,0.94,53.38MiB
1,A-izhodisce,obremenitev,10,elasticsearch,27.04,1.952GiB
1,A-izhodisce,obremenitev,10,kibana,13.02,649.6MiB
1,A-izhodisce,obremenitev,10,logstash,29.91,805MiB
