krog,nacin,vzorec,komponenta,cpu_raw
2,nestrukturirano,7,logstash,18.73
2,nestrukturirano,7,alertmanager,0.34
2,nestrukturirano,8,prometheus,0.00
2,nestrukturirano,8,node-exporter,0.00
2,nestrukturirano,8,cadvisor,1.98
2,nestrukturirano,8,grafana,0.48
2,nestrukturirano,8,elasticsearch,2.85
2,nestrukturirano,8,kibana,9.92
2,nestrukturirano,8,logstash,4.49
2,nestrukturirano,8,alertmanager,0.78
2,nestrukturirano,9,prometheus,0.00
2,nestrukturirano,9,node-exporter,0.00
2,nestrukturirano,9,cadvisor,2.83
2,nestrukturirano,9,grafana,0.37
2,nestrukturirano,9,elasticsearch,3.22
2,nestrukturirano,9,kibana,10.61
2,nestrukturirano,9,logstash,34.19
2,nestrukturirano,9,alertmanager,0.26
2,nestrukturirano,10,prometheus,1.40
2,nestrukturirano,10,node-exporter,3.80
2,nestrukturirano,10,cadvisor,1.34
2,nestrukturirano,10,grafana,0.08
2,nestrukturirano,10,elasticsearch,2.56
2,nestrukturirano,10,kibana,9.03
2,nestrukturirano,10,logstash,5.65
2,nestrukturirano,10,alertmanager,0.57
3,nestrukturirano,1,prometheus,0.62
3,nestrukturirano,1,node-exporter,0.00
3,nestrukturirano,1,cadvisor,1.85
3,nestrukturirano,1,grafana,0.10
3,nestrukturirano,1,elasticsearch,10.95
3,nestrukturirano,1,kibana,11.71
3,nestrukturirano,1,logstash,5.11
3,nestrukturirano,1,alertmanager,0.18
3,nestrukturirano,2,prometheus,0.00
3,nestrukturirano,2,node-exporter,0.00
3,nestrukturirano,2,cadvisor,3.17
3,nestrukturirano,2,grafana,0.09
3,nestrukturirano,2,elasticsearch,0.89
3,nestrukturirano,2,kibana,6.04
3,nestrukturirano,2,logstash,4.23
3,nestrukturirano,2,alertmanager,0.25
3,nestrukturirano,3,prometheus,0.36
3,nestrukturirano,3,node-exporter,0.00
3,nestrukturirano,3,cadvisor,3.66
3,nestrukturirano,3,grafana,0.22
3,nestrukturirano,3,elasticsearch,1.36
3,nestrukturirano,3,kibana,4.78
3,nestrukturirano,3,logstash,38.54
3,nestrukturirano,3,alertmanager,0.98
3,nestrukturirano,4,prometheus,0.35
3,nestrukturirano,4,node-exporter,0.00
3,nestrukturirano,4,cadvisor,1.95
3,nestrukturirano,4,grafana,0.10
3,nestrukturirano,4,elasticsearch,2.12
3,nestrukturirano,4,kibana,8.66
3,nestrukturirano,4,logstash,10.52
3,nestrukturirano,4,alertmanager,0.16
3,nestrukturirano,5,prometheus,1.24
3,nestrukturirano,5,node-exporter,0.00
3,nestrukturirano,5,cadvisor,5.55
3,nestrukturirano,5,grafana,0.19
3,nestrukturirano,5,elasticsearch,2.85
3,nestrukturirano,5,kibana,7.10
3,nestrukturirano,5,logstash,5.12
3,nestrukturirano,5,alertmanager,0.22
3,nestrukturirano,6,prometheus,0.00
3,nestrukturirano,6,node-exporter,0.00
3,nestrukturirano,6,cadvisor,1.70
3,nestrukturirano,6,grafana,0.29
3,nestrukturirano,6,elasticsearch,1.13
3,nestrukturirano,6,kibana,6.16
3,nestrukturirano,6,logstash,4.02
3,nestrukturirano,6,alertmanager,0.51
3,nestrukturirano,7,prometheus,0.31
3,nestrukturirano,7,node-exporter,0.00
3,nestrukturirano,7,cadvisor,2.35
3,nestrukturirano,7,grafana,0.18
3,nestrukturirano,7,elasticsearch,1.81
3,nestrukturirano,7,kibana,8.16
3,nestrukturirano,7,logstash,11.28
3,nestrukturirano,7,alertmanager,0.24
3,nestrukturirano,8,prometheus,0.97
3,nestrukturirano,8,node-exporter,0.00
3,nestrukturirano,8,cadvisor,5.43
3,nestrukturirano,8,grafana,0.03
3,nestrukturirano,8,elasticsearch,2.88
3,nestrukturirano,8,kibana,8.38
3,nestrukturirano,8,logstash,4.31
3,nestrukturirano,8,alertmanager,0.27
3,nestrukturirano,9,prometheus,0.28
3,nestrukturirano,9,node-exporter,0.00
3,nestrukturirano,9,cadvisor,4.35
3,nestrukturirano,9,grafana,0.05
3,nestrukturirano,9,elasticsearch,1.50
3,nestrukturirano,9,kibana,6.47
3,nestrukturirano,9,logstash,4.10
3,nestrukturirano,9,alertmanager,0.51
3,nestrukturirano,10,prometheus,0.37
3,nestrukturirano,10,node-exporter,0.00
3,nestrukturirano,10,cadvisor,3.77
3,nestrukturirano,10,grafana,0.07
3,nestrukturirano,10,elasticsearch,1.54
3,nestrukturirano,10,kibana,7.31
3,nestrukturirano,10,logstash,4.32
3,nestrukturirano,10,alertmanager,0.22
4,nestrukturirano,1,prometheus,1.32
4,nestrukturirano,1,node-exporter,0.00
4,nestrukturirano,1,cadvisor,2.19
4,nestrukturirano,1,grafana,0.15
4,nestrukturirano,1,elasticsearch,1.99
4,nestrukturirano,1,kibana,7.40
4,nestrukturirano,1,logstash,2.79
4,nestrukturirano,1,alertmanager,0.33
4,nestrukturirano,2,prometheus,0.28
4,nestrukturirano,2,node-exporter,0.00
4,nestrukturirano,2,cadvisor,3.11
4,nestrukturirano,2,grafana,0.07
4,nestrukturirano,2,elasticsearch,1.48
4,nestrukturirano,2,kibana,8.22
4,nestrukturirano,2,logstash,4.84
4,nestrukturirano,2,alertmanager,0.30
4,nestrukturirano,3,prometheus,0.02
4,nestrukturirano,3,node-exporter,0.00
4,nestrukturirano,3,cadvisor,2.98
4,nestrukturirano,3,grafana,0.09
4,nestrukturirano,3,elasticsearch,1.44
4,nestrukturirano,3,kibana,6.80
4,nestrukturirano,3,logstash,36.34
4,nestrukturirano,3,alertmanager,0.18
4,nestrukturirano,4,prometheus,1.08
4,nestrukturirano,4,node-exporter,0.00
4,nestrukturirano,4,cadvisor,2.31
